timestamp,iteration,POW?
2026-04-16 11:25:31.801,1,78.6 dBµV
2026-04-16 11:25:42.213,2,78.5 dBµV
2026-04-16 11:25:52.606,3,78.5 dBµV
2026-04-16 11:26:02.990,4,78.3 dBµV
2026-04-16 11:26:13.335,5,78.4 dBµV
2026-04-16 11:26:23.680,6,78.5 dBµV
2026-04-16 11:26:34.024,7,78.6 dBµV
2026-04-16 11:26:44.371,8,78.5 dBµV
2026-04-16 11:26:54.766,9,78.4 dBµV
2026-04-16 11:27:05.151,10,78.4 dBµV
2026-04-16 11:27:15.545,11,78.5 dBµV
2026-04-16 11:27:25.891,12,78.5 dBµV
2026-04-16 11:27:36.240,13,78.5 dBµV
2026-04-16 11:27:46.637,14,78.5 dBµV
2026-04-16 11:27:57.275,15,78.5 dBµV
2026-04-16 11:28:07.619,16,78.5 dBµV
2026-04-16 11:28:18.031,17,78.6 dBµV
2026-04-16 11:28:28.401,18,78.4 dBµV
2026-04-16 11:28:38.782,19,78.6 dBµV
2026-04-16 11:28:49.129,20,78.6 dBµV
2026-04-16 11:28:59.508,21,78.6 dBµV
2026-04-16 11:29:09.942,22,78.6 dBµV
2026-04-16 11:29:20.288,23,78.4 dBµV
2026-04-16 11:29:30.707,24,78.6 dBµV
2026-04-16 11:29:41.090,25,78.5 dBµV
2026-04-16 11:29:51.498,26,78.7 dBµV
2026-04-16 11:30:01.844,27,78.5 dBµV
2026-04-16 11:30:12.215,28,78.6 dBµV
2026-04-16 11:30:22.560,29,78.6 dBµV
2026-04-16 11:30:32.914,30,78.6 dBµV
2026-04-16 11:30:43.295,31,78.6 dBµV
